layer,head,pair,dim0,dim1,bucket_size,n_buckets,current_global_gap,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_min_deg,bucket_best_alpha_max_deg,bucket_best_alpha_range_deg,bucket_best_gap_mean,bucket_best_gap_median,bucket_consistent_flag
1,2,57,114,115,256,80,0.616562008857727,40.0,0.02162817306816578,0.5949338357895613,96.49213335277742,-15.25,29.978116989135742,-45.0,40.0,85.0,0.025316882878541946,0.02327566407620907,0
1,3,43,86,87,256,80,0.2636827826499939,10.0,0.024200519546866417,0.23948226310312748,90.82210855648107,9.3125,5.346947193145752,-5.0,20.0,25.0,0.03860029578208923,0.03816540539264679,0
1,3,45,90,91,256,80,0.43609100580215454,-15.0,0.06645232439041138,0.36963868141174316,84.7618218430858,-15.875,3.3330729007720947,-25.0,-10.0,15.0,0.04375772923231125,0.04694194346666336,1
1,3,47,94,95,256,80,0.688347578048706,-40.0,0.018435170873999596,0.6699124071747065,97.32182236679634,-28.5,17.0,-45.0,40.0,85.0,0.030283013358712196,0.026821859180927277,0
1,3,50,100,101,256,80,0.2588447034358978,-10.0,0.04327549785375595,0.21556920558214188,83.281289020282,-5.875,1.899835467338562,-10.0,-5.0,5.0,0.03630903363227844,0.036009013652801514,1
1,3,53,106,107,256,80,0.3525926172733307,-45.0,0.008500893600285053,0.34409172367304564,97.58903244599273,23.75,30.305734634399414,-45.0,40.0,85.0,0.03586651757359505,0.03808218240737915,0
1,3,54,108,109,256,80,0.559980571269989,40.0,0.02154458686709404,0.538435984402895,96.15261886350223,-25.875,35.49449920654297,-45.0,40.0,85.0,0.026166832074522972,0.021744122728705406,0
1,3,55,110,111,256,80,0.3350966274738312,20.0,0.06651070713996887,0.2685859203338623,80.1517825943614,19.5,4.650269031524658,5.0,25.0,20.0,0.034428130835294724,0.031349170953035355,1
1,3,56,112,113,256,80,0.3988501727581024,35.0,0.029867637902498245,0.36898253485560417,92.51156450655154,-12.875,31.342613220214844,-45.0,40.0,85.0,0.02310909517109394,0.01758873462677002,0
1,3,57,114,115,256,80,0.28597038984298706,15.0,0.009174064733088017,0.27679632510989904,96.7919529227746,9.5,7.141428470611572,-10.0,30.0,40.0,0.028223222121596336,0.02811715193092823,0
1,4,36,72,73,256,80,0.2884577810764313,30.0,0.006281164009124041,0.28217661706730723,97.82250144694147,-4.6875,27.310068130493164,-45.0,40.0,85.0,0.03460473567247391,0.0332099124789238,0
1,4,47,94,95,256,80,0.30600351095199585,30.0,0.033372703939676285,0.27263080701231956,89.0940127334318,28.4375,13.171792030334473,-45.0,40.0,85.0,0.020786432549357414,0.012810327112674713,0
1,4,48,96,97,256,80,0.2587931454181671,30.0,0.01504279114305973,0.24375035427510738,94.18733014788585,5.0625,34.500850677490234,-45.0,40.0,85.0,0.015572193078696728,0.010798042640089989,0
1,4,49,98,99,256,80,0.259014755487442,-40.0,0.0026948123704642057,0.2563199431169778,98.9595911764205,-30.3125,6.535659313201904,-45.0,-5.0,40.0,0.027589520439505577,0.027080459520220757,0
1,4,54,108,109,256,80,0.4688456058502197,-35.0,0.007678168825805187,0.46116743702441454,98.36232466935861,-32.1875,5.960481643676758,-45.0,-20.0,25.0,0.03259657695889473,0.03126295655965805,0
1,4,56,112,113,256,80,0.28636687994003296,40.0,0.046842992305755615,0.23952388763427734,83.64231495081944,-30.0625,27.093515396118164,-45.0,40.0,85.0,0.03310822695493698,0.03304586559534073,0
1,5,48,96,97,256,80,0.3060990571975708,-15.0,0.040545832365751266,0.26555322483181953,86.75401592642572,-10.5625,2.7378995418548584,-15.0,-5.0,10.0,0.03799845278263092,0.04088886082172394,1
1,5,49,98,99,256,80,0.3955051600933075,-45.0,0.033012036234140396,0.3624931238591671,91.65319708436871,24.75,24.923633575439453,-45.0,40.0,85.0,0.03601065278053284,0.037594690918922424,0
1,5,51,102,103,256,80,0.3254952132701874,35.0,0.04318564757704735,0.28230956569314003,86.73232483415977,33.3125,4.026765823364258,20.0,40.0,20.0,0.03457317501306534,0.03307346627116203,1
